Ticker,Company,Rows_Raw,Rows_After_Reindex,Missing_BDays,Nulls_Before_Fill,Nulls_After_Fill,Fill_Method,Status
ITC.NS,ITC,1126,1172,46,276,0,Forward-fill → Back-fill,✅ CLEAN
SUNPHARMA.NS,Sun Pharma,1126,1172,46,276,0,Forward-fill → Back-fill,✅ CLEAN
TATAMOTORS.NS,Tata Motors,1126,1172,46,276,0,Forward-fill → Back-fill,✅ CLEAN
ICICIBANK.NS,ICICI Bank,1126,1172,46,276,0,Forward-fill → Back-fill,✅ CLEAN
INFY.NS,Infosys,1126,1172,46,276,0,Forward-fill → Back-fill,✅ CLEAN
MARUTI.NS,Maruti,1126,1172,46,276,0,Forward-fill → Back-fill,✅ CLEAN
DRREDDY.NS,Dr Reddy's,1126,1172,46,276,0,Forward-fill → Back-fill,✅ CLEAN
HDFCBANK.NS,HDFC Bank,1126,1172,46,276,0,Forward-fill → Back-fill,✅ CLEAN
