,Weight
ITC.NS,0.22925261175471714
SUNPHARMA.NS,0.2241273795777345
TATAMOTORS.NS,0.13452790794377192
ICICIBANK.NS,0.07883551544752612
INFY.NS,0.11352759506893657
MARUTI.NS,0.07207359372232358
DRREDDY.NS,0.06583889992167792
HDFCBANK.NS,0.08181649656331227
