Date,Adj Close,Close,High,Low,Open,Volume
2021-01-01,164.06781005859375,205.91941833496094,206.25643920898438,201.5381622314453,202.11590576171875,20279389
2021-01-04,163.7225799560547,205.48611450195312,207.98968505859375,204.2343292236328,206.06385803222656,27927482
2021-01-05,162.22653198242188,203.60842895507812,205.3416748046875,202.78994750976562,204.57135009765625,18718244
2021-01-06,157.58489990234375,197.7827911376953,203.6565704345703,196.91616821289062,203.60842895507812,50957586
2021-01-07,155.59014892578125,195.27920532226562,199.9011993408203,194.60516357421875,198.4568328857422,36298522
2021-01-08,154.5927734375,194.0274200439453,198.36053466796875,192.8237762451172,196.771728515625,58600546
2021-01-11,155.36001586914062,194.99034118652344,198.4568328857422,193.7866973876953,196.43470764160156,44625924
2021-01-12,158.3904571533203,198.79385375976562,199.22715759277344,194.12371826171875,195.47178649902344,36989137
2021-01-13,162.0730743408203,203.4158477783203,205.1009521484375,197.6383514404297,199.7567596435547,66387977
2021-01-14,164.29798889160156,206.2082977294922,208.4711456298828,203.75286865234375,204.13803100585938,50164605
2021-01-15,167.13665771484375,209.77108764648438,210.39698791503906,203.36770629882812,206.93048095703125,60567280
2021-01-18,168.5943603515625,211.6006317138672,213.76718139648438,206.64161682128906,210.30068969726562,70211602
2021-01-19,167.90386962890625,210.73399353027344,213.47830200195312,209.43406677246094,212.8042755126953,33009228
2021-01-20,166.9832305908203,209.57850646972656,210.87843322753906,207.70082092285156,210.39698791503906,46392916
2021-01-21,163.95274353027344,205.77499389648438,211.35989379882812,204.3306121826172,210.87843322753906,30116008
2021-01-22,161.651123046875,202.88624572753906,206.78604125976562,201.3937225341797,206.06385803222656,25663922
2021-01-25,159.42620849609375,200.09378051757812,204.61949157714844,199.17901611328125,204.13803100585938,25929487
2021-01-27,161.61273193359375,202.8380889892578,204.76393127441406,199.4197540283203,200.286376953125,50338134
2021-01-28,158.50558471679688,198.93829345703125,203.17510986328125,198.11981201171875,201.49002075195312,22984352
2021-01-29,155.93539428710938,195.7125244140625,201.05670166015625,194.8459014892578,200.81597900390625,24679902
2021-02-01,165.678955078125,207.94154357910156,209.86737060546875,194.31629943847656,196.43470764160156,59968324
2021-02-02,167.4051971435547,210.1081085205078,215.21156311035156,208.95260620117188,211.8413543701172,50324035
2021-02-03,166.29275512695312,208.71188354492188,213.76718139648438,207.70082092285156,213.2857208251953,55709225
2021-02-04,176.41989135742188,221.42236328125,222.81858825683594,207.98968505859375,208.0859832763672,109894300
2021-02-05,179.79563903808594,225.6591796875,229.9923095703125,218.82249450683594,223.540771484375,130323308
2021-02-08,178.83660888671875,224.45553588867188,229.2219696044922,222.91488647460938,228.69236755371094,43093963
2021-02-09,175.69105529785156,220.50758361816406,230.32933044433594,219.7372589111328,225.89991760253906,73377134
2021-02-10,174.57858276367188,219.11135864257812,222.5297088623047,214.82638549804688,220.50758361816406,49104142
2021-02-11,173.73468017578125,218.05215454101562,220.7964630126953,216.17446899414062,220.50758361816406,45311749
2021-02-12,166.82977294921875,209.38592529296875,217.37811279296875,207.79710388183594,217.37811279296875,114826417
2021-02-15,167.7120819091797,210.49327087402344,212.8042755126953,209.43406677246094,210.3488311767578,33000365
2021-02-16,167.44357299804688,210.15625,213.57460021972656,209.19334411621094,210.9265899658203,30271502
2021-02-17,167.0599365234375,209.67478942871094,210.30068969726562,208.51930236816406,209.5303497314453,20615018
2021-02-18,167.90386962890625,210.73399353027344,212.41909790039062,209.81922912597656,210.1081085205078,24997592
2021-02-19,165.678955078125,207.94154357910156,210.7821502685547,206.06385803222656,210.73399353027344,29208388
2021-02-22,162.76451110839844,199.37159729003906,204.13803100585938,198.36053466796875,204.13803100585938,53531490
2021-02-23,163.90435791015625,200.767822265625,202.74180603027344,199.32345581054688,200.286376953125,27703323
2021-02-24,164.17950439453125,201.10484313964844,202.01962280273438,198.8419952392578,201.3455810546875,13667471
2021-02-25,164.4153289794922,201.3937225341797,203.36770629882812,201.05670166015625,201.73074340820312,26953713
2021-02-26,160.24893188476562,196.29026794433594,200.286376953125,195.47178649902344,199.56417846679688,45101885
2021-03-01,162.64657592773438,199.22715759277344,200.04563903808594,196.48284912109375,197.8309326171875,16850430
2021-03-02,165.00491333007812,202.11590576171875,202.98252868652344,198.8419952392578,199.32345581054688,26590262
2021-03-03,165.04421997070312,202.1640625,204.13803100585938,201.05670166015625,204.13803100585938,21648963
2021-03-04,164.8477020263672,201.92332458496094,203.4639892578125,199.9011993408203,201.05670166015625,25858155
2021-03-05,163.94369506835938,200.81597900390625,202.2122039794922,199.5160369873047,200.286376953125,17990773
2021-03-08,163.51132202148438,200.286376953125,202.98252868652344,199.99749755859375,201.92332458496094,23874105
2021-03-09,163.35409545898438,200.09378051757812,201.97146606445312,197.15689086914062,200.9604034423828,23463213
2021-03-10,162.3321533203125,198.8419952392578,201.44186401367188,198.16795349121094,201.3455810546875,20358192
2021-03-12,161.31019592285156,197.5902099609375,200.286376953125,195.9532470703125,200.286376953125,31973696
